player_id,robust_pr_count,pr_current_season,pr_current_pos,pr_current_total,pr_current_avg,pr_current_final,pr_current_gp,pr_current_robust,pr_recent_season,pr_recent_pos,pr_recent_total,pr_recent_avg,pr_recent_final,pr_recent_gp,pr_previous_season,pr_previous_pos,pr_previous_total,pr_previous_avg,pr_previous_final,pr_previous_gp
16266,NA,2026,DE,13.5,13.5,13.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16298,NA,2026,DE,15,15,15,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16923,NA,2026,DE,16,16,16,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14147,NA,2026,DE,17,17,17,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16230,NA,2026,DE,18.5,18.5,18.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14947,NA,2026,DE,18.5,18.5,18.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14164,NA,2026,DE,20,20,20,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16651,NA,2026,DE,21,21,21,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15378,NA,2026,DE,22,22,22,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16224,NA,2026,DE,23,23,23,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14225,NA,2026,DE,24,24,24,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17584,NA,2026,DE,25,25,25,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17161,NA,2026,DE,26.5,26.5,26.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15815,NA,2026,DE,26.5,26.5,26.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16257,NA,2026,DE,28.5,28.5,28.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17551,NA,2026,DE,28.5,28.5,28.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17118,NA,2026,DE,30,30,30,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15349,NA,2026,DE,31,31,31,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15808,NA,2026,DE,32.5,32.5,32.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15814,NA,2026,DE,32.5,32.5,32.5,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17160,NA,2026,DE,34,34,34,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11706,NA,2026,DE,35,35,35,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16653,NA,2026,DE,36,36,36,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14405,NA,2026,DE,37,37,37,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16252,NA,2026,DE,38,38,38,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
